Difference from HDI value (%) (1990),Difference from HDI value (%) (1991),Difference from HDI value (%) (1992),Difference from HDI value (%) (1993),Difference from HDI value (%) (1994),Difference from HDI value (%) (1995),Difference from HDI value (%) (1996),Difference from HDI value (%) (1997),Difference from HDI value (%) (1998),Difference from HDI value (%) (1999),Difference from HDI value (%) (2000),Difference from HDI value (%) (2001),Difference from HDI value (%) (2002),Difference from HDI value (%) (2003),Difference from HDI value (%) (2004),Difference from HDI value (%) (2005),Difference from HDI value (%) (2006),Difference from HDI value (%) (2007),Difference from HDI value (%) (2008),Difference from HDI value (%) (2009),Difference from HDI value (%) (2010),Difference from HDI value (%) (2011),Difference from HDI value (%) (2012),Difference from HDI value (%) (2013),Difference from HDI value (%) (2014),Difference from HDI value (%) (2015),Difference from HDI value (%) (2016),Difference from HDI value (%) (2017),Difference from HDI value (%) (2018),Difference from HDI value (%) (2019),Difference from HDI value (%) (2020),Difference from HDI value (%) (2021)
12.68163804,13.08900524,13.34196891,12.16389245,12.67427123,13.06532663,12.46882793,12.25247525,13.40713407,14.1809291,14.18181818,14.81927711,15.70743405,16.72640382,16.82464455,17.88235294,18.22429907,18.06526807,16.27906977,13.70499419,12.55760369,12.1559633,10.64073227,11.25,11.42533937,11.58605174,11.2849162,10.81382386,10.76581576,10.24229075,9.56618465,9.502762431
,26.20027435,44.78442281,40.98591549,37.64044944,32.96551724,28.97574124,25.36327609,23.82198953,24.06209573,18.67852605,19.94981179,19.08302354,25.49019608,21.79176755,25.02979738,28.33530106,30.12895662,27.21962617,23.36448598,25.08710801,25.1435132,25.62929062,28.06818182,27.87258248,26.98412698,30.28248588,31.11612176,27.04826038,24.21875,23.20627803,23.14606742
,,,,,,,,,,0.348432056,0.332225914,0.323624595,0.319488818,0.305810398,0.289017341,0.275482094,0.263157895,0.253164557,0.248756219,0.242718447,0.236966825,0.23255814,0.22675737,0.222222222,0.434782609,0.425531915,0.416666667,0.408997955,0.401606426,0.401606426,0.401606426
20.63882064,20.41564792,20.24242424,19.66224367,21.40309156,21.01534829,21.8969555,21.20509849,23.59679267,25.7661748,25.14029181,26.11111111,27.54424779,28.99669239,28.8248337,27.51381215,30.3630363,30.73545554,30.48245614,26.24035281,26.78375412,26.12021858,24.80874317,24.7300216,24.59546926,23.01075269,24.06015038,23.34047109,23.61111111,22.68370607,22.28144989,22.23404255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.27433628,14.0175219,13.64764268,12.85537701,13.00121507,13.16425121,13.08523409,12.88782816,13.5391924,13.69047619,13.15165877,13.2231405,12.97169811,13.04347826,13.17016317,14.3187067,14.13793103,14.54753723,14.54753723,13.41743119,13.45496009,13.50737798,13.83219955,13.86696731,13.34080717,13.11659193,12.96089385,12.91759465,11.76470588,11.49171271,11.02449889,11.07419712
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.672131148,8.455284553,9.268292683,8.885298869,7.544141252,7.336523126,7.619047619,7.413249211,8.28125,7.547169811,8.503937008,7.332293292,7.142857143,7.407407407,6.646058733,5.981595092,5.837173579,5.648854962,5.648854962,5.606060606,9.337349398,9.580838323,9.278350515,9.343065693,9.077809798,8.726752504,8.547008547,7.790368272,6.090651558,5.782792666,5.633802817,5.66572238
17.28855721,17.3053152,17.03431373,16.82926829,16.90821256,16.66666667,16.78657074,16.98337292,17.45283019,17.07602339,17.40139211,17.51152074,16.95303551,16.62870159,16.98537683,17.65363128,17.89709172,16.94537347,15.55555556,13.79690949,13.81578947,13.43612335,13.86138614,13.6659436,13.74458874,13.52813853,12.83710895,12.68817204,12.48654467,12.29946524,11.7965368,11.84068891
,,,,,,,,,,3.276353276,3.399433428,3.781512605,4.149377593,4.38957476,4.60704607,4.986522911,5.710491368,6.684491979,5.444887118,5.401844532,6.527415144,7.24450194,6.692406692,7.015306122,7.215189873,7.556675063,7.375,7.462686567,6.666666667,6.608478803,6.608478803
1.304347826,1.287553648,1.276595745,1.473684211,1.257861635,1.449275362,1.848049281,1.829268293,1.408450704,1.394422311,1.183431953,1.188118812,1.3671875,1.359223301,1.343570058,1.500938086,1.481481481,1.454545455,1.604278075,1.413427562,1.567944251,2.051282051,2.195945946,2.166666667,1.833333333,1.97693575,1.963993453,1.948051948,2.258064516,2.218700475,2.215189873,2.215189873
1.858736059,1.824817518,1.773049645,1.730103806,1.694915254,1.98019802,1.935483871,1.869158879,1.818181818,2.064896755,2.028985507,1.988636364,2.209944751,2.162162162,2.122015915,2.067183463,2.030456853,1.990049751,1.960784314,1.951219512,1.927710843,1.904761905,2.117647059,2.097902098,2.068965517,2.045454545,2.666666667,2.401746725,2.164502165,2.355460385,2.360515021,2.365591398
5.539358601,4.285714286,4.761904762,4.407713499,4.06504065,3.723404255,3.664921466,3.116883117,3.571428571,3.266331658,3.96039604,3.170731707,2.912621359,3.341288783,3.271028037,2.552204176,2.52293578,2.262443439,2.222222222,2.417582418,2.173913043,2.173913043,2.355460385,2.123142251,2.114164905,2.30125523,2.272727273,2.45398773,1.818181818,1.988071571,1.996007984,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5.2734375,9.961685824,18.72659176,20.29795158,21.83486239,22.48201439,20.73813708,19.20415225,20.10309278,20.13651877,19.5164076,21.02564103,21.11486486,21.71717172,20.56856187,18.90547264,17.5787728,16.80532446,12.64559068,12.89256198,12.68781302,12.75167785
13.83399209,13.91417425,13.52405722,13.91417425,13.95348837,14.8005148,15.60102302,15.33586819,16.7709637,16.97877653,16.91358025,18.53658537,19.39759036,19.64071856,20.40332147,17.66081871,18.0764774,19.34731935,21.20509849,18.93764434,15.30494822,14.68208092,15.58891455,14.58094145,14.1069397,13.40909091,12.65678449,12.61363636,11.96388262,11.58605174,10.72234763,10.7102593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.652892562,1.639344262,1.829268293,1.810865191,1.996007984,1.968503937,1.937984496,2.095238095,2.059925094,2.029520295,2.0,2.158273381,2.495543672,2.650176678,2.802101576,2.787456446,2.581755594,2.711864407,2.684563758,2.5,2.644628099,2.618657938,2.75974026,3.064516129,3.296703297,3.129890454,3.129890454,2.96875,4.0625,4.205607477,4.094488189,4.146730463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
