Inequality-adjusted Human Development Index (2010),Inequality-adjusted Human Development Index (2011),Inequality-adjusted Human Development Index (2012),Inequality-adjusted Human Development Index (2013),Inequality-adjusted Human Development Index (2014),Inequality-adjusted Human Development Index (2015),Inequality-adjusted Human Development Index (2016),Inequality-adjusted Human Development Index (2017),Inequality-adjusted Human Development Index (2018),Inequality-adjusted Human Development Index (2019),Inequality-adjusted Human Development Index (2020),Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2010),Coefficient of human inequality (2011),Coefficient of human inequality (2012),Coefficient of human inequality (2013),Coefficient of human inequality (2014),Coefficient of human inequality (2015),Coefficient of human inequality (2016),Coefficient of human inequality (2017),Coefficient of human inequality (2018),Coefficient of human inequality (2019),Coefficient of human inequality (2020),Coefficient of human inequality (2021),Overall loss (%) (2010),Overall loss (%) (2011),Overall loss (%) (2012),Overall loss (%) (2013),Overall loss (%) (2014),Overall loss (%) (2015),Overall loss (%) (2016),Overall loss (%) (2017),Overall loss (%) (2018),Overall loss (%) (2019),Overall loss (%) (2020),Overall loss (%) (2021),Inequality in life expectancy (2010),Inequality in life expectancy (2011),Inequality in life expectancy (2012),Inequality in life expectancy (2013),Inequality in life expectancy (2014),Inequality in life expectancy (2015),Inequality in life expectancy (2016),Inequality in life expectancy (2017),Inequality in life expectancy (2018),Inequality in life expectancy (2019),Inequality in life expectancy (2020),Inequality in life expectancy (2021),Inequality in eduation (2010),Inequality in eduation (2011),Inequality in eduation (2012),Inequality in eduation (2013),Inequality in eduation (2014),Inequality in eduation (2015),Inequality in eduation (2016),Inequality in eduation (2017),Inequality in eduation (2018),Inequality in eduation (2019),Inequality in eduation (2020),Inequality in eduation (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
0.753,0.762,0.768,0.766,0.772,0.775,0.768,0.784,0.794,0.798,0.805,0.8,10.27996761,10.03685256,9.514650945,10.02771235,10.01657984,9.833627025,11.02533217,10.07459587,9.431821578,9.407682014,8.241983704,8.316025071,10.57007126,10.24734982,9.753231492,10.30444965,10.33681765,10.09280742,11.52073733,10.50228311,9.772727273,9.728506787,8.418657565,8.571428571,5.770692825,5.481777668,5.202582836,4.870707035,4.937849522,4.937591076,4.889976501,4.140087605,4.292464733,4.220046043,4.094921112,4.317045212,4.96892,6.07428,5.85483,5.60263,5.38301,4.83441,4.51676,4.27895,3.88094,3.88094,3.57741,3.57741,20.10029,18.5545,17.48654,19.6098,19.72888,19.72888,23.66926,21.80475,20.12206,20.12206,17.05362,17.05362
0.846,0.843,0.844,0.843,0.843,0.83,0.836,0.832,0.832,0.836,0.844,0.85,7.202117789,7.621658858,7.725259924,8.299185167,8.811969498,9.092632552,9.307143152,9.312244981,9.583785535,9.631002189,8.433172277,8.413193197,7.236842105,7.667031763,7.860262009,8.469055375,8.963282937,9.289617486,9.425785482,9.466811752,9.761388286,9.816612729,8.658008658,8.602150538,3.747743368,3.699896574,3.269319773,3.998965502,3.358088493,2.971937656,3.615469456,3.290864944,3.775586605,3.917236567,3.93024683,3.870309591,6.30828,6.04121,6.01176,5.84549,8.12629,9.35443,9.35443,8.00368,6.29069,6.29069,4.71707,4.71707,11.55033,13.12387,13.8947,15.0531,14.95153,14.95153,14.95153,16.64219,18.68508,18.68508,16.6522,16.6522
0.737,0.746,0.747,0.758,0.761,0.765,0.77,0.784,0.787,0.792,0.799,0.792,10.17965312,9.910668733,10.05560855,9.744983194,9.727913503,9.653993686,9.590431292,8.611041016,8.722720894,8.736677123,7.960497238,7.961744167,10.55825243,10.22864019,10.32412965,10.08303677,10.04728132,10.0,9.941520468,8.837209302,9.122401848,9.070034443,8.266360505,8.227114716,6.020599365,6.2872262,6.151995659,5.236349583,4.948760509,4.960751057,4.770063877,4.719593048,4.306402683,4.34827137,4.203511715,4.207252502,3.57961,3.63922,3.4944,3.78981,3.84566,3.7064,3.7064,2.58293,2.53011,2.53011,2.22774,2.22774,20.93875,19.80556,20.52043,20.20879,20.38932,20.29483,20.29483,18.5306,19.33165,19.33165,17.45024,17.45024
0.424,,,,,,,,0.497,0.502,0.5,0.504,28.46393929,,,,,,,,25.45988505,25.34366935,25.20171556,25.09769131,29.68490879,,,,,,,,26.47928994,26.39296188,26.3622975,26.2079063,16.59181786,15.90167904,15.27164078,14.59476662,13.97009182,13.39918709,12.88576889,12.4113636,12.00520515,11.65655804,11.23069668,10.91862392,45.8,,,,,,,,41.87093,41.87093,41.87093,41.87093,23.0,,,,,,,22.50352,22.50352,22.50352,22.50352,22.50352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.473114967,4.061586857,4.472539902,4.312175751,4.282027245,4.127039909,3.945627689,3.980827808,3.671735287,3.648757219,3.55026412,3.428432703,,,,,,,,,,,,,,,,,,,,,,,,
0.659,0.668,0.677,0.683,0.691,0.691,0.698,0.706,0.71,0.716,0.71,0.711,9.689213158,9.186272461,8.634233508,8.405328708,7.794715269,7.680730001,7.624253408,7.575182414,7.471397576,7.410546161,7.327202337,7.297466136,9.726027397,9.239130435,8.636977058,8.445040214,7.866666667,7.743658211,7.671957672,7.712418301,7.552083333,7.493540052,7.310704961,7.301173403,10.69036293,10.50690365,10.33328438,10.16901684,10.02114773,9.845884323,9.676454544,9.529241562,9.406876564,9.224322319,8.974290848,8.885082245,3.573789055,3.487020812,3.254724925,3.247362894,2.925775997,2.759083599,2.759083599,2.759083599,2.570094084,2.570094084,2.570094084,2.570094084,14.80348749,13.56489292,12.31469122,11.79960639,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208
0.335,0.337,0.331,0.359,0.362,0.364,0.367,0.368,0.368,0.371,0.366,0.367,31.91720241,31.68030208,33.1614714,27.7553289,27.58041867,27.43909685,27.22856371,27.08604281,27.40667387,27.19838123,26.99342327,26.85263932,31.91056911,31.78137652,33.26612903,28.05611222,27.88844622,27.77777778,27.32673267,27.41617357,27.41617357,27.25490196,26.94610778,26.74650699,29.57626724,28.86556625,28.39459419,27.8132267,27.28849602,26.86453056,26.23293114,25.80536842,25.31720161,24.69232368,24.0774498,23.65509796,30.1,30.1,35.01448,35.01448,35.01448,35.01448,35.01448,35.01448,29.34582,29.34582,29.34582,29.34582,36.07534,36.07534,36.07534,20.43828,20.43828,20.43828,20.43828,20.43828,27.557,27.557,27.557,27.557
0.516,0.526,0.534,0.542,0.55,0.557,0.586,0.59,0.595,0.599,0.583,0.594,23.81444163,23.66942576,23.50594722,23.36619738,23.22980606,23.09672701,20.31762187,20.19441716,20.0759298,19.96654336,19.86994568,19.76629861,25.0,24.85714286,24.68265162,24.51253482,24.45054945,24.32065217,20.91767881,20.91152815,20.66666667,20.66225166,20.57220708,20.48192771,8.326294899,7.891247272,7.400811672,6.981562138,6.572388172,6.173151016,5.7874856,5.417871475,5.062409401,4.734250069,4.444457054,4.133515835,39.96557,39.96557,39.96557,39.96557,39.96557,39.96557,29.31948,29.31948,29.31948,29.31948,29.31948,29.31948,23.15146,23.15146,23.15146,23.15146,23.15146,23.15146,25.8459,25.8459,25.8459,25.8459,25.8459,25.8459
0.589,0.593,0.598,0.599,0.606,0.61,0.626,0.628,0.635,0.638,0.619,0.621,20.67239127,20.5643972,20.63781182,20.53056002,20.01149493,19.92822327,18.4548364,18.39496632,17.78961896,17.71541071,17.64201084,17.59461132,21.04557641,21.14361702,21.31578947,21.18421053,20.68062827,20.57291667,18.9119171,18.96774194,18.27541828,18.10012837,18.12169312,18.07387863,12.16616344,11.84218121,11.51211452,11.19035912,10.89842796,10.64861298,10.44932079,10.26971054,10.08201408,9.859389305,9.63918972,9.496991158,17.45384438,17.45384438,16.45552493,16.45552493,15.40212083,15.40212083,14.11041542,14.11041542,13.48795481,13.48795481,13.48795481,13.48795481,32.397166,32.397166,33.945796,33.945796,33.733936,33.733936,30.804773,30.804773,29.798888,29.798888,29.798888,29.798888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8083744,20.67235756,20.45575905,20.21379852,19.91314697,19.59774399,19.25924683,18.91902351,18.55545425,18.20243454,17.8416729,17.46094704,,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,,,,,,,,,,,,
,0.622,0.622,0.628,0.632,0.639,0.64,,0.694,0.699,0.69,0.686,,15.44334455,15.69152431,15.70085299,15.65843737,15.43252528,15.86014823,,10.70665543,10.64371277,10.60630887,10.64682541,,16.05937922,16.28532974,16.26666667,16.29139073,16.14173228,16.55801825,,10.9114249,10.84183673,10.85271318,10.90909091,5.926739216,5.723903656,6.468442917,6.496428967,6.36918211,5.691445827,6.97431469,5.957654476,4.594536304,4.405708313,4.293496609,4.415046215,17.466,10.53734,10.53734,10.53734,10.53734,10.53734,10.53734,10.53734,8.36817,8.36817,8.36817,8.36817,,30.06879,30.06879,30.06879,30.06879,30.06879,30.06879,,19.15726,19.15726,19.15726,19.15726
,,,0.272,0.279,0.274,0.279,0.283,0.289,0.292,0.289,0.291,,,,32.21058828,31.93135498,32.94161147,32.69145889,32.44976094,31.85974236,31.63885232,31.33362694,31.07790617,,,,33.16953317,32.77108434,34.13461538,33.72921615,33.56807512,32.79069767,32.56351039,32.31850117,32.00934579,41.29293442,40.47914124,39.68065262,38.91368484,38.07598495,37.28556442,36.53510666,35.81001282,35.15585709,34.49318695,33.57751083,32.81034851,,,,41.61872,41.61872,46.17695,46.17695,46.17695,43.85965,43.85965,43.85965,43.85965,,,,16.09936,16.09936,15.36232,15.36232,15.36232,16.56372,16.56372,16.56372,16.56372
0.792,0.784,0.79,0.8,0.811,0.816,0.815,0.829,0.839,0.843,0.843,0.849,7.926205352,8.346853272,8.527619121,8.235237475,7.901806236,8.14531517,8.454573313,7.999650344,7.782198572,7.872140868,7.381169472,7.425981436,8.013937282,8.518086348,8.564814815,8.256880734,7.945516459,8.211473566,8.529741863,7.991120977,7.802197802,7.868852459,7.464324918,7.516339869,4.648426056,5.235819817,4.933097363,5.106072426,4.112108707,4.64556551,5.573339939,4.832221031,4.573385715,4.843212605,3.093108416,3.227544308,5.5195,5.73251,7.31224,5.98891,6.6693,6.86637,6.86637,6.69493,6.18818,6.18818,5.19238,5.19238,13.61069,14.07223,13.33752,13.61073,12.92401,12.92401,12.92401,12.4718,12.58503,12.58503,13.85802,13.85802
0.417,0.428,0.437,0.449,0.458,0.467,,,,,,,17.6772408,17.42196825,17.19633209,16.93610615,16.73057853,16.52566571,,,,,,,18.23529412,17.85028791,17.70244821,17.31123389,17.17902351,16.90391459,,,,,,,27.74668884,26.9808712,26.30396271,25.52328491,24.90670204,24.29196358,23.74913979,23.23651314,22.5657959,22.10067749,21.47727013,21.22284508,19.44,19.44,19.44,19.44,19.44,19.44,26.85272,26.85272,26.85272,26.85272,26.85272,26.85272,5.845033545,5.845033545,5.845033545,5.845033545,5.845033545,5.845033545,,,,,,
,,,0.746,0.749,0.754,0.755,0.763,0.756,0.757,0.748,0.756,,,,8.50491224,8.472150508,8.15091644,8.302844468,8.048357986,9.232856775,9.302679802,9.249191071,9.010792996,,,,8.690330477,8.547008547,8.272506083,8.373786408,8.072289157,9.352517986,9.557945042,9.443099274,9.134615385,5.308189392,4.594517231,4.473377705,4.533396721,4.435111523,3.471409321,3.927193403,3.163733959,2.959510326,3.168979406,3.008513212,2.293318987,,6.03860614,6.03860614,7.36696,7.36696,7.36696,7.36696,7.36696,7.81501,7.81501,7.81501,7.81501,12.555,,,13.61438,13.61438,13.61438,13.61438,13.61438,16.92405,16.92405,16.92405,16.92405
0.592,,,,0.632,0.635,0.637,0.638,0.645,0.649,0.648,0.644,15.43561242,,,,13.32180527,13.15812837,13.00218736,12.85454236,13.10903127,12.98818229,12.86875684,12.72536745,15.54921541,,,,13.30589849,13.25136612,13.09686221,12.84153005,13.1897712,13.00268097,13.02013423,12.85520974,15.18794727,14.28304482,13.52219677,12.88855839,12.3452158,11.8541851,11.38636208,10.94342709,10.4971838,10.13463688,9.776360512,9.34619236,11.44802,11.44802,11.44802,11.44802,11.9202,11.9202,11.9202,11.9202,11.88363,11.88363,11.88363,11.88363,19.67087,,,,15.7,15.7,15.7,15.7,16.94628,16.94628,16.94628,16.94628
0.262,0.277,0.283,0.293,0.299,0.297,0.3,0.296,0.301,0.305,0.304,0.3,34.90141238,31.73359886,31.44621229,31.16802549,30.88877948,32.43742097,32.14903367,33.26990787,33.06937941,32.85904463,32.56947987,32.40842271,34.82587065,31.94103194,31.47699758,31.38173302,30.94688222,32.5,32.27990971,33.48314607,33.2594235,33.11403509,32.89183223,32.73542601,36.76588058,35.88591003,35.02375031,34.18918991,33.35145187,32.34246063,31.47729874,30.88375282,30.28216743,29.6511631,28.7824688,28.29929733,30.92034656,30.92034656,30.92034656,30.92034656,30.92034656,36.57526228,36.57526228,40.5314308,40.5314308,40.5314308,40.5314308,40.5314308,37.01801,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454
0.342,0.347,0.354,0.36,0.365,0.37,0.37,,,,0.389,0.389,32.54131559,32.21515011,32.05090768,31.85499437,31.67470542,31.48949996,31.31175795,,,,29.19243707,29.02167279,32.94117647,32.62135922,32.31357553,32.20338983,32.02979516,31.98529412,31.60813309,,,,30.03597122,30.03597122,31.78378677,31.24954033,30.75681305,30.1690731,29.62820625,29.07258987,28.53936386,27.99240303,27.48851395,26.91683388,26.25055122,25.73825836,42.06,40.78516,40.78516,40.78516,40.78516,40.78516,40.78516,40.78516,40.78516,40.78516,43.98689,43.98689,23.78016,24.61075,24.61075,24.61075,24.61075,24.61075,24.61075,,,,17.33987,17.33987
,,0.646,0.652,0.661,0.664,0.668,0.671,0.676,0.681,0.667,0.666,,,16.47139895,16.49902308,16.42401755,16.37407554,16.37059621,16.41972538,16.49399786,16.5757856,16.90243559,16.9101772,,,16.64516129,16.62404092,16.64564943,16.47798742,16.60424469,16.64596273,16.64611591,16.64626683,17.039801,16.95760599,9.170820236,9.214717865,9.320232391,9.403104782,9.178088188,9.028262138,9.017824173,9.165211678,9.388029099,9.633392334,10.61334229,10.63656712,,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,,,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242
0.325,0.333,0.333,0.342,0.346,0.351,0.357,0.364,0.369,0.376,0.378,0.377,28.59993546,28.10306097,29.06299207,28.47886909,28.84510501,28.4697992,28.11210464,27.77158569,27.49969187,27.27254763,26.52514147,26.32042065,28.72807018,28.07775378,29.14893617,28.45188285,28.95277207,28.51323829,28.31325301,27.92079208,27.64705882,27.55298651,26.74418605,26.3671875,32.48504639,30.99442291,29.30689621,27.55452728,25.82042503,24.6945076,23.51202393,22.49046707,21.67478561,20.99335289,20.2911644,19.67700195,30.20141,30.20141,30.20141,30.20141,28.21397,28.21397,28.42429,28.42429,28.42429,28.42429,28.00731,28.00731,23.11335,23.11335,27.68067,27.68067,32.50092,32.50092,32.4,32.4,32.4,32.4,31.27695,31.27695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.158695221,6.095094204,6.035086155,6.009731293,5.989129543,5.997983932,6.006832123,6.039265633,6.079515934,6.109055996,6.102083206,6.002527237,15.55704832,15.55704832,15.55704832,15.55704832,15.55704832,15.55704832,12.06360206,12.06360206,12.06360206,12.06360206,12.06360206,12.06360206,,,,,,,,,,,,
0.327,0.33,0.335,0.393,0.4,0.405,0.409,0.411,0.412,0.415,0.413,0.402,39.94855332,39.99207266,40.00612855,34.02225695,33.88294167,33.83566739,33.67210589,33.51272021,33.43481455,33.26745171,33.01824453,32.83945475,44.1025641,44.25675676,44.25956739,35.6792144,35.58776167,35.50955414,35.28481013,35.27559055,35.22012579,35.05477308,34.75513428,34.63414634,23.74365997,23.87421799,23.91638565,23.46552086,23.047575,22.90575218,22.41506767,21.93691063,21.70319366,21.20110512,20.45348358,19.91711426,27.765,27.765,27.765,25.01567,25.01567,25.01567,25.01567,25.01567,25.01567,25.01567,25.01567,25.01567,68.337,68.337,68.337,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558
,,0.251,0.258,0.263,0.268,0.275,0.28,0.287,0.294,0.292,0.292,,,28.41259597,28.04030568,28.51243015,28.22722813,27.94127715,27.67571573,27.44187796,27.19175017,26.90988982,26.71059986,,,29.0960452,28.72928177,28.91891892,28.72340426,28.19843342,28.20512821,28.07017544,27.5862069,27.18204489,27.0,38.79561234,37.42683792,36.22773361,35.11086273,34.13856125,33.28295517,32.42510223,31.62841797,30.92690468,30.1765213,29.33094025,28.73307037,,,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,21.1,14.0452243,14.0452243,14.0452243,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921
0.283,0.302,0.306,0.311,0.315,0.317,0.32,0.335,0.335,0.34,0.34,0.341,41.25284136,38.03476431,37.931105,38.24337502,38.17040113,38.3021644,38.19937866,36.05932125,36.64900886,36.47063107,36.22589662,36.02441703,41.28630705,38.61788618,38.67735471,38.53754941,38.4765625,38.56589147,38.57965451,36.31178707,36.91148776,36.80297398,36.44859813,36.26168224,44.02338409,43.62259293,43.31161499,43.04164505,42.82272339,42.59401321,42.28565598,41.92482376,41.48026657,40.94513321,40.21092987,39.60649109,45.243,45.243,45.243,43.29704,43.29704,43.81248,43.81248,38.09476,40.41507,40.41507,40.41507,40.41507,34.49214,25.2387,25.2387,28.39144,28.39144,28.5,28.5,28.15838,28.05169,28.05169,28.05169,28.05169
,0.472,0.478,0.483,0.491,0.497,0.502,0.508,0.51,0.513,0.505,0.516,,23.84608185,23.68037045,23.53643493,22.95426295,22.82202139,22.6962648,22.58714507,22.46913296,22.36346299,22.23421055,22.12122876,,24.11575563,24.0063593,23.8170347,23.40093604,23.18392581,23.12404288,22.91350531,22.96072508,22.74096386,22.78287462,22.63868066,14.36959267,13.76761055,13.27047634,12.83866978,12.36995125,11.97322655,11.5959568,11.2685976,10.91456127,10.59755135,10.20979404,9.870848656,,29.49004,29.49004,29.49004,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,28.280595,28.280595,28.280595,28.280595,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801
0.855,0.866,0.867,0.867,0.864,0.868,0.865,0.873,0.874,0.877,0.875,0.878,6.646082527,6.510882512,6.420773067,6.584273966,7.092950806,6.842539704,7.217130509,6.818684653,6.843680222,6.881701072,6.706232464,6.697945352,6.761177754,6.580366775,6.472491909,6.673842842,7.196562836,6.86695279,7.288317256,6.830309498,6.922257721,6.998939555,6.815761448,6.695005313,3.701517582,3.565247536,3.630029202,3.583211899,3.561122417,3.300259113,3.429671526,3.463943958,3.373560667,3.487623215,3.359207392,3.334346056,3.92241,4.12502,4.05123,4.248,4.49909,4.56792,5.30548,4.92932,5.3671,5.3671,4.86674,4.86674,12.31432,11.84238,11.58106,11.92161,13.21864,12.65944,12.91624,12.06279,11.79038,11.79038,11.89275,11.89275
0.882,0.892,0.896,0.899,0.898,0.892,0.888,0.894,0.907,0.907,0.906,0.908,6.120443056,5.384827609,5.199958667,5.260598423,5.548336689,6.363238333,6.884730642,6.63516087,5.539880141,5.530066594,5.420141472,5.435151511,6.269925611,5.508474576,5.285412262,5.268703899,5.672268908,6.400839454,7.015706806,6.777893639,5.717255717,5.619146722,5.526590198,5.51508845,3.314519167,3.118482828,3.051476002,3.007045269,2.939480066,2.842694998,2.756861925,2.78721261,2.749960423,2.720519781,2.496584415,2.541614532,2.24132,2.37422,2.32217,2.42101,2.60124,5.26284,6.06716,4.38463,2.3324,2.3324,2.3324,2.3324,12.80549,10.66178,10.22623,10.35374,11.10429,10.98418,11.83017,12.73364,11.53728,11.53728,11.43144,11.43144
,0.404,0.411,0.419,0.421,0.423,0.434,0.441,0.447,0.454,0.451,0.449,,25.98560734,25.76953653,25.51910165,25.74976608,25.7940331,25.07619127,24.89371332,24.72505538,24.60647656,24.45085567,24.31912877,,26.94394213,26.73796791,26.49122807,26.90972222,26.94300518,25.93856655,25.75757576,25.62396007,25.69558101,25.33112583,25.41528239,22.22933197,21.45162201,20.80340958,20.05210495,19.44638824,19.5791893,18.03125381,17.48381996,16.97784615,16.40390968,15.937047,15.5418663,42.5,41.37719,41.37719,41.37719,43.89112,43.89112,40.881,40.881,40.881,41.0992,41.0992,41.0992,,15.12801,15.12801,15.12801,13.91179,13.91179,16.31632,16.31632,16.31632,16.31632,16.31632,16.31632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.73770332,19.08982849,18.51724815,17.75745583,16.8702507,16.19129181,15.57397652,14.99882126,14.53691101,14.11915493,13.7362175,13.45940208,,,,,,,,,,,,,,,,,,,,,,,,
,0.845,0.848,0.86,0.857,0.859,0.862,0.863,0.864,0.865,0.864,0.865,,8.081087665,8.007376304,7.209619376,7.605498354,7.536348735,7.463859194,7.433019274,7.457803362,7.433357033,7.425887777,7.486808254,,8.351409978,8.225108225,7.427341227,7.849462366,7.733619764,7.708779443,7.700534759,7.692307692,7.684098186,7.692307692,7.684098186,4.787756443,4.531864166,4.318346977,4.263929844,4.55689764,4.387159348,4.102047443,4.009527683,4.083879948,4.010540962,3.988133192,4.170894623,1.568288077,1.817445878,1.809828984,1.809828984,1.810199062,1.772488496,1.840131778,1.840131778,1.840131778,1.840131778,1.840131778,1.840131778,,17.89395295,17.89395295,15.5550993,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836
,0.635,0.643,0.648,0.653,0.714,0.724,0.722,0.724,0.728,0.718,0.708,,19.35818876,19.29745894,19.26744172,19.24129261,13.01999595,13.00235759,13.00124719,12.99744458,12.99109692,12.97959466,13.04890453,,19.92433796,19.82543641,19.90111248,19.77886978,13.24422843,13.08523409,13.11672684,13.18944844,13.23003576,13.18016929,13.23529412,7.574533939,7.442848682,7.260659218,7.170607567,7.092160225,7.022330284,6.969415188,6.966084003,6.954676151,6.935633183,6.901126385,7.109055996,30.54286069,30.54286069,30.54286069,30.54286069,30.54286069,11.94880067,11.94880067,11.94880067,11.94880067,11.94880067,11.94880067,11.94880067,,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691
0.347,0.351,0.354,0.36,0.368,0.373,0.379,0.375,0.378,0.38,0.379,0.38,29.84804872,29.66748256,29.4961111,29.20224107,29.02163232,28.82363491,28.63633836,30.02808261,29.84120504,29.64630326,29.40150078,29.21919322,31.28712871,30.90551181,30.99415205,30.5019305,30.17077799,30.14981273,29.94454713,30.93922652,30.64220183,30.4029304,30.20257827,30.14705882,33.22714615,32.68544769,32.17133331,31.6227932,31.08096695,30.48697472,29.92508507,29.32213783,28.76150513,28.17679977,27.44239235,26.89546967,45.182,45.182,45.182,44.39953,44.39953,44.39953,44.39953,43.52795,43.52795,43.52795,43.52795,43.52795,11.135,11.135,11.135,11.5844,11.5844,11.5844,11.5844,17.23416,17.23416,17.23416,17.23416,17.23416
0.597,0.603,0.605,0.613,0.619,0.626,0.632,0.639,0.647,0.647,0.636,0.64,21.68056285,21.63985807,21.82753169,21.48203265,21.0479551,20.71487466,20.61424593,20.19681747,19.6397955,19.80368107,19.6945483,19.60325211,22.76843467,22.59306804,22.92993631,22.40506329,22.04030227,21.75,21.49068323,21.20838471,20.51597052,20.80783354,20.59925094,20.49689441,13.07001686,12.82829094,12.61763382,12.36962032,12.15005875,11.89641666,11.69146061,11.52538681,11.43046379,11.46911049,11.14171219,10.8678236,13.0942797,13.78346927,13.42170525,13.59583562,13.12639155,12.51679831,12.56513417,12.15230059,11.37222672,11.37222672,11.37222672,11.37222672,38.877392,38.307814,39.443256,38.480642,37.867415,37.731409,37.586143,36.912765,36.116696,36.569706,36.569706,36.569706
0.575,0.585,0.596,0.606,0.614,0.62,0.624,0.63,0.641,0.649,0.635,0.635,20.25741242,19.69151411,19.24117814,18.78960971,18.30189183,17.97711358,18.0124737,17.71171752,17.03147192,16.51923973,16.3985373,16.42213438,20.68965517,20.08196721,19.67654987,19.2,18.67549669,18.31357049,18.43137255,18.18181818,17.39690722,16.79487179,16.66666667,16.66666667,12.03151226,11.50487232,11.08270741,10.67771912,10.30509949,9.982815742,9.705058098,9.500276566,9.187319756,8.929735184,8.567627907,8.638419151,17.49038,17.17164,16.37128,16.22708,16.08547,15.28603,15.33142,15.06621,14.59567,14.32733,14.32733,14.32733,31.250345,30.39803,30.269547,29.46403,28.515106,28.662495,29.000943,28.568666,27.311426,26.300654,26.300654,26.300654
0.536,0.54,0.546,0.563,0.567,0.57,0.571,0.575,0.581,0.588,0.582,0.574,20.09701007,20.07680997,20.02802699,18.34383767,18.17684294,18.1195748,18.05254167,17.93095387,17.84550973,17.75757683,17.63072956,17.52378166,20.47477745,20.4712813,20.2919708,18.6416185,18.53448276,18.33810888,18.42857143,18.32386364,18.16901408,18.10584958,18.02816901,17.88268956,16.8108902,16.75028992,16.60394096,16.68937302,16.18838882,16.0165844,15.815485,15.6016016,15.3452692,15.08147049,14.70092869,14.38008499,13.5,13.5,13.5,11.5562,11.5562,11.5562,11.5562,10.0958,10.0958,10.0958,10.0958,10.0958,29.98014,29.98014,29.98014,26.78594,26.78594,26.78594,26.78594,28.09546,28.09546,28.09546,28.09546,28.09546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65144062,15.49729252,15.33435822,15.1783762,14.99480915,14.73750877,14.41321468,14.07137775,13.71571255,13.3456316,12.93183613,12.47459698,,,,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,23.035,23.035,,,,,,,,,,
,,,,,,0.386,0.39,0.392,0.397,0.398,0.397,,,,,,,29.25351743,29.11353012,28.98885818,28.82103884,28.67441268,28.47612536,,,,,,,29.43327239,29.34782609,29.24187726,29.10714286,28.92857143,28.85304659,25.77737045,25.28807831,24.91914177,24.49790382,24.08473587,23.61940002,23.20919228,22.78923035,22.41521454,21.91175652,21.47187805,20.87701607,,,,,,,35.65204,35.65204,35.65204,35.65204,35.65204,35.65204,,,,,,,28.89932,28.89932,28.89932,28.89932,28.89932,28.89932
0.76,0.765,0.771,0.782,0.784,0.788,0.795,0.804,0.811,0.815,0.815,0.816,9.475651981,9.47872972,9.330340116,9.157646599,9.131625284,8.979865441,8.686997843,8.014790925,7.477034607,7.46316103,6.888828933,6.831017673,9.631391201,9.681227863,9.507042254,9.385863268,9.36416185,9.216589862,8.830275229,8.114285714,7.525655644,7.491486947,6.96347032,6.849315068,5.027555943,4.908439159,4.876660347,4.790579796,4.641955853,4.459016323,4.487503529,4.453942776,4.348323822,4.306703091,4.099816799,3.926383018,6.3426,5.62807,5.59326,5.39706,5.3656,5.09326,4.71453,5.20938,4.93736,4.93736,4.45925,4.45925,17.0568,17.89968,17.5211,17.2853,17.38732,17.38732,16.85896,14.38105,13.14542,13.14542,12.10742,12.10742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.30227852,15.55809402,14.68531322,13.81739235,13.06089497,13.21600723,12.91828537,12.32974243,12.01801491,11.58582592,11.25858021,10.96100235,,,,,,,,,,,,,,,,,,,,,,,,
